x	y
0	0.2197195
0.033	0.208727416
0.066	0.196836488
0.1	0.183009989
0.133	0.166640895
0.166	0.14758923
0.2	0.126056405
0.233	0.102447162
0.266	0.07727742
0.3	0.051104113
0.333	0.02445887
0.366	-0.002177124
0.4	-0.028349034
0.433	-0.053606741
0.466	-0.077501171
0.5	-0.099600181
0.533	-0.119514737
0.566	-0.136905546
0.6	-0.151478522
0.633	-0.162989318
0.666	-0.171244027
0.699	-0.176100056
0.733	-0.177475201
0.766	-0.175343282
0.799	-0.169720878
0.833	-0.160677105
0.866	-0.148359619
0.899	-0.132991296
0.933	-0.114854708
0.966	-0.094280243
0.999	-0.071634945
1.033	-0.047313083
1.066	-0.021748722
1.099	0.004576951
1.133	0.031164425
1.166	0.057545251
1.199	0.083300551
1.233	0.108038673
1.266	0.13136622
1.299	0.152889272
1.333	0.17222368
1.366	0.189012177
1.399	0.202936413
1.433	0.213724294
1.466	0.221147179
1.499	0.225058462
1.532	0.225402292
1.566	0.222218811
1.599	0.215630193
1.632	0.205810971
1.666	0.192963602
1.699	0.177313235
1.732	0.159123937
1.766	0.138734302
1.799	0.116520973
1.832	0.092850469
1.866	0.068069761
1.899	0.042538212
1.932	0.016659342
1.966	-0.009114284
1.999	-0.034308635
2.032	-0.058467483
2.066	-0.081171598
2.099	-0.102033344
2.132	-0.120692834
2.166	-0.136823865
2.199	-0.15014509
2.232	-0.160420716
2.266	-0.167465913
2.299	-0.171160076
2.332	-0.171443343
2.365	-0.168302972
2.399	-0.16177387
2.432	-0.151960582
2.465	-0.139055792
2.499	-0.123321474
2.532	-0.105053113
2.565	-0.084562773
2.599	-0.062186954
2.632	-0.038305963
2.665	-0.013343915
2.699	0.01225832
2.732	0.038057428
2.765	0.063613935
2.799	0.088489589
2.832	0.112244568
2.865	0.134443585
2.899	0.154686437
2.932	0.172626153
2.965	0.187964979
2.999	0.200449319
3.032	0.209860135
3.065	0.216015911
3.098	0.218790984
3.132	0.218143467
3.165	0.214122229
3.198	0.206879112
3.232	0.19660785
3.265	0.183516135
3.298	0.167826148
3.332	0.149773859
3.365	0.129625429
3.398	0.107688386
3.432	0.084317554
3.465	0.059917502
3.498	0.034931543
3.532	0.009805085
3.565	-0.015039153
3.598	-0.039185434
3.632	-0.062211039
3.665	-0.083706689
3.698	-0.103297835
3.732	-0.120642219
3.765	-0.13543371
3.798	-0.147415396
3.832	-0.156383944
3.865	-0.162195716
3.898	-0.164773044
3.931	-0.164087479
3.965	-0.160146874
3.998	-0.15299469
4.031	-0.142722729
4.065	-0.129491911
4.098	-0.11354763
4.131	-0.095198111
4.165	-0.07477549
4.198	-0.052620281
4.231	-0.029095162
4.265	-0.0046054
4.298	0.020397314
4.331	0.045440694
4.365	0.070065196
4.398	0.093831519
4.431	0.116325147
4.465	0.13717328
4.498	0.156048841
4.531	0.172650937
4.565	0.186696125
4.598	0.197929064
4.631	0.206132111
4.664	0.211146442
4.698	0.212888281
4.731	0.211355882
4.764	0.206606841
4.798	0.198747623
4.831	0.187931818
4.864	0.174364675
4.898	0.15829124
4.931	0.139990765
4.964	0.119773569
4.998	0.097980341
5.031	0.074988246
5.064	0.051196092
5.098	0.027008098
5.131	0.002831099
5.164	-0.020932781
5.198	-0.043895903
5.231	-0.065683721
5.264	-0.085923606
5.298	-0.104243804
5.331	-0.120303276
5.364	-0.133822073
5.397	-0.144577141
5.431	-0.152378239
5.464	-0.157081378
5.497	-0.158612206
5.531	-0.156955191
5.564	-0.15213494
5.597	-0.144219174
5.631	-0.133334777
5.664	-0.119673736
5.697	-0.103481793
5.731	-0.085042564
5.764	-0.064669161
5.797	-0.042707683
5.831	-0.019554145
5.864	0.004352502
5.897	0.028567549
5.931	0.052663914
5.964	0.076221495
5.997	0.09882124
6.031	0.120064341
6.064	0.139595099
6.097	0.157105813
6.131	0.172327004
6.164	0.185011882
6.197	0.194935824
6.23	0.201920632
6.264	0.205837151
6.297	0.206613822
6.33	0.204233193
6.364	0.198738897
6.397	0.190228671
6.43	0.178866578
6.464	0.16489033
6.497	0.148588431
6.53	0.130269805
6.564	0.110240755
6.597	0.088804447
6.63	0.066290048
6.664	0.043069141
6.697	0.019534249
6.73	-0.003919486
6.764	-0.026884877
6.797	-0.048939207
6.83	-0.069667435
6.864	-0.088691175
6.897	-0.105679686
6.93	-0.120349353
6.963	-0.132466476
6.997	-0.141843606
7.03	-0.14833309
7.063	-0.151827413
7.097	-0.152265316
7.13	-0.1496276
7.163	-0.143937129
7.197	-0.135272442
7.23	-0.123787477
7.263	-0.109703019
7.297	-0.093275108
7.33	-0.07479242
7.363	-0.054590583
7.397	-0.03303245
7.43	-0.010482273
7.463	0.012680515
7.497	0.036033544
7.53	0.059134897
7.563	0.081568137
7.597	0.102960289
7.63	0.122980437
7.663	0.141314248
7.697	0.157638138
7.73	0.171643882
7.763	0.183081548
7.796	0.19176107
7.83	0.197539855
7.863	0.200316674
7.896	0.20005313
7.93	0.196759693
7.963	0.190500943
7.996	0.181386833
8.03	0.169582648
8.063	0.155306902
8.096	0.138838149
8.13	0.120502244
8.163	0.100637954
8.196	0.079572877
8.23	0.057632168
8.263	0.035155993
8.296	0.012504237
8.33	-0.009947155
8.363	-0.031809149
8.396	-0.052690268
8.43	-0.072213172
8.463	-0.090034729
8.496	-0.105845318
8.529	-0.119361497
8.563	-0.130333335
8.596	-0.138562213
8.629	-0.143911473
8.663	-0.146305017
8.696	-0.14572103
8.729	-0.142179233
8.763	-0.135732336
8.796	-0.126468128
8.829	-0.114528331
8.863	-0.100124652
8.896	-0.083519939
8.929	-0.065001995
8.963	-0.044887774
8.996	-0.023542048
9.029	-0.001370782
9.063	0.021207496
9.096	0.043778094
9.129	0.065937317
9.163	0.087310619
9.196	0.107552599
9.229	0.126335832
9.263	0.143353491
9.296	0.158331208
