x	y
0	0.24627992
0.033	0.238192064
0.067	0.225758339
0.1	0.20803452
0.133	0.186261538
0.167	0.161232469
0.2	0.133129352
0.233	0.102355532
0.267	0.06972154
0.3	0.036147165
0.333	0.002415885
0.367	-0.030808203
0.4	-0.062838485
0.433	-0.092918537
0.466	-0.120324918
0.5	-0.144471549
0.533	-0.164933789
0.566	-0.181321907
0.6	-0.192971282
0.633	-0.198689853
0.666	-0.197058494
0.7	-0.188044392
0.733	-0.174829282
0.766	-0.161697076
0.8	-0.148972055
0.833	-0.132969829
0.866	-0.111017427
0.9	-0.083619074
0.933	-0.052651871
0.966	-0.019734089
1	0.014051122
1.033	0.047923251
1.066	0.081182768
1.1	0.113134162
1.133	0.143098673
1.166	0.170432274
1.199	0.194529162
1.233	0.214836068
1.266	0.230884371
1.299	0.242325004
1.333	0.24895551
1.366	0.250702584
1.399	0.247578445
1.433	0.239673849
1.466	0.227152857
1.499	0.210292976
1.533	0.18948167
1.566	0.165200301
1.599	0.137955013
1.633	0.108264344
1.666	0.07670757
1.699	0.043964844
1.733	0.010807253
1.766	-0.021945421
1.799	-0.053496436
1.833	-0.08313265
1.866	-0.110228712
1.899	-0.134233622
1.933	-0.1546723
1.966	-0.171133198
1.999	-0.183260095
2.032	-0.190756284
2.066	-0.193410057
2.099	-0.191133275
2.132	-0.183983883
2.166	-0.172152471
2.199	-0.15591864
2.232	-0.135617668
2.266	-0.111646967
2.299	-0.084498894
2.332	-0.0547803
2.366	-0.023198567
2.399	0.00946876
2.432	0.042416562
2.466	0.074862059
2.499	0.106084079
2.532	0.135429696
2.566	0.162291884
2.599	0.186111439
2.632	0.206395656
2.666	0.222707503
2.699	0.234685698
2.732	0.242070186
2.765	0.244726577
2.799	0.242611238
2.832	0.235780019
2.865	0.224383019
2.899	0.208666329
2.932	0.188963307
2.965	0.165713602
2.999	0.139442033
3.032	0.110747424
3.065	0.080279735
3.099	0.048703413
3.132	0.016689013
3.165	-0.015071442
3.199	-0.045871092
3.232	-0.075021582
3.265	-0.101876614
3.299	-0.125831956
3.332	-0.146334513
3.365	-0.162911999
3.399	-0.175197896
3.432	-0.182936686
3.465	-0.185986125
3.499	-0.184324571
3.532	-0.178032659
3.565	-0.167262756
3.598	-0.152234948
3.632	-0.133248034
3.665	-0.110678833
3.698	-0.084973274
3.732	-0.056669794
3.765	-0.026424285
3.798	0.005029864
3.832	0.036929422
3.865	0.068500857
3.898	0.09900066
3.932	0.127771366
3.965	0.154244869
3.998	0.177890939
4.032	0.19819959
4.065	0.214710405
4.098	0.2270621
4.132	0.234984149
4.165	0.238281076
4.198	0.236862123
4.232	0.230769179
4.265	0.220169794
4.298	0.205336241
4.331	0.186643765
4.365	0.164554529
4.398	0.139568919
4.431	0.112215072
4.465	0.083051143
4.498	0.052669674
4.531	0.021714165
4.565	-0.009110968
4.598	-0.039080191
4.631	-0.067511255
4.665	-0.093794518
4.698	-0.117376359
4.731	-0.137739814
4.765	-0.154423242
4.798	-0.167050699
4.831	-0.175332111
4.865	-0.179074097
4.898	-0.178210508
4.931	-0.172797544
4.965	-0.162979718
4.998	-0.14896839
5.031	-0.131042462
5.064	-0.109561648
5.098	-0.084967689
5.131	-0.057799371
5.164	-0.028710666
5.198	0.00157708
5.231	0.032356659
5.264	0.06295647
5.298	0.092716602
5.331	0.120974705
5.364	0.147077151
5.398	0.170420929
5.431	0.19048698
5.464	0.206851187
5.498	0.219187174
5.531	0.227268049
5.564	0.230931495
5.598	0.230102463
5.631	0.224810625
5.664	0.215204333
5.698	0.201526187
5.731	0.184106056
5.764	0.16333402
5.798	0.139654091
5.831	0.113541696
5.864	0.085504727
5.897	0.056109543
5.931	0.026005406
5.964	-0.004084245
5.997	-0.033414503
6.031	-0.061279383
6.064	-0.087036603
6.097	-0.110126436
6.131	-0.130090559
6.164	-0.146557566
6.197	-0.159209283
6.231	-0.16777309
6.264	-0.172052987
6.297	-0.171936224
6.331	-0.167377075
6.364	-0.158420046
6.397	-0.145249791
6.431	-0.12818815
6.464	-0.107639167
6.497	-0.084060816
6.531	-0.05798455
6.564	-0.030025423
6.597	-0.000847881
6.63	0.028875774
6.664	0.058476035
6.697	0.08729369
6.73	0.114702864
6.764	0.140133009
6.797	0.163068206
6.83	0.183023952
6.864	0.199536512
6.897	0.212198876
6.93	0.220689903
6.964	0.224815861
6.997	0.224513919
7.03	0.219831201
7.064	0.210912568
7.097	0.19798666
7.13	0.181367635
7.164	0.161447145
7.197	0.138675834
7.23	0.113529305
7.264	0.086500612
7.297	0.058139012
7.33	0.029084865
7.364	3.49066E-05
7.397	-0.028340656
7.43	-0.055430435
7.463	-0.080653061
7.497	-0.103452995
7.53	-0.12332322
7.563	-0.139804364
7.597	-0.152495351
7.63	-0.161096333
7.663	-0.165446392
7.697	-0.16552179
7.73	-0.161390421
7.763	-0.153156482
7.797	-0.140943017
7.83	-0.124935206
7.863	-0.105428359
7.897	-0.082842926
7.93	-0.057721704
7.963	-0.030704879
7.997	-0.002461961
8.03	0.026361628
8.063	0.055131286
8.097	0.083204732
8.13	0.109946318
8.163	0.134761758
8.197	0.157127629
8.23	0.176590668
8.263	0.192745436
8.296	0.205226285
8.33	0.213734766
8.363	0.21807889
8.396	0.2181871
8.43	0.21410303
8.463	0.205959324
8.496	0.19396193
8.53	0.17837265
8.563	0.159495692
8.596	0.137698275
8.63	0.113424236
8.663	0.087206947
8.696	0.059659368
8.73	0.03144839
8.763	0.003251374
8.796	-0.024289573
8.83	-0.050580863
8.863	-0.075072545
8.896	-0.097255506
8.93	-0.116660251
8.963	-0.132855335
8.996	-0.145462372
9.029	-0.154189891
9.063	-0.158863708
9.096	-0.159417327
9.129	-0.155859822
9.163	-0.148253154
9.196	-0.136719669
9.229	-0.121464618
9.263	-0.102798497
9.296	-0.081141404
9.329	-0.057013798
9.363	-0.031006298
9.396	-0.003741462
9.429	0.024134762
9.463	0.05195915
9.496	0.079092737
9.529	0.104966545
9.563	0.129074603
9.596	0.150936946
9.629	0.170085128
9.663	0.18608526
9.696	0.1985696
9.729	0.20723865
9.762	0.211870754
9.796	0.212347229
9.829	0.208666329
9.862	0.200941502
9.896	0.189404876
9.929	0.174378638
9.962	0.156229134
9.996	0.13534051
10.029	0.112130947
10.062	0.087057547
10.096	0.060625582
10.129	0.033419041
10.162	0.006100973
10.196	-0.020652656
10.229	-0.046218762
10.262	-0.070040586
10.296	-0.091616347
10.329	-0.110492606
10.362	-0.126280156
10.396	-0.138672169
10.429	-0.14743058
10.462	-0.152355375
10.496	-0.153287905
10.529	-0.150161322
10.562	-0.143023973
10.595	-0.13202421
10.629	-0.117401667
10.662	-0.099487782
10.695	-0.078688344
10.729	-0.055480003
10.762	-0.030419169
10.795	-0.004118977
10.829	0.022799934
10.862	0.049727048
