x	y
0	0.206030882
0.034	0.200520878
0.067	0.194009054
0.1	0.185498829
0.134	0.174424889
0.167	0.16058181
0.2	0.144060175
0.234	0.125172221
0.267	0.104384652
0.3	0.082237296
0.333	0.059260211
0.367	0.035935457
0.4	0.012702855
0.433	-0.010020633
0.467	-0.031833235
0.5	-0.052350453
0.533	-0.071213099
0.567	-0.08810265
0.6	-0.102747882
0.633	-0.114913002
0.667	-0.124386125
0.7	-0.130979106
0.733	-0.13454429
0.767	-0.134990397
0.8	-0.132292816
0.833	-0.126504606
0.867	-0.117761379
0.9	-0.106259485
0.933	-0.092226339
0.967	-0.075904544
1	-0.057556944
1.033	-0.037475535
1.067	-0.015985296
1.1	0.006544112
1.133	0.029688923
1.166	0.052977026
1.2	0.075920252
1.233	0.098059579
1.266	0.118986775
1.3	0.138327815
1.333	0.155732064
1.366	0.170883791
1.4	0.183507408
1.433	0.193368518
1.466	0.200293985
1.5	0.204156399
1.533	0.2049034
1.566	0.202550696
1.6	0.197180318
1.633	0.188907457
1.666	0.177889193
1.7	0.164332348
1.733	0.148486504
1.766	0.130625852
1.8	0.111056697
1.833	0.090138576
1.866	0.068284087
1.9	0.045938637
1.933	0.023555313
1.966	0.001565735
1.999	-0.019647346
2.033	-0.039753015
2.066	-0.058451775
2.099	-0.075456692
2.133	-0.090494973
2.166	-0.103320176
2.199	-0.113706805
2.233	-0.121445943
2.266	-0.126365852
2.299	-0.128353259
2.333	-0.127361562
2.366	-0.12340525
2.399	-0.116552564
2.433	-0.106908223
2.466	-0.094616219
2.499	-0.079874819
2.533	-0.062937096
2.566	-0.04409522
2.599	-0.023676788
2.633	-0.002055823
2.666	0.020337449
2.699	0.043036678
2.732	0.065574813
2.766	0.087516743
2.799	0.108471689
2.832	0.128078893
2.866	0.145988065
2.899	0.16187126
2.932	0.175447478
2.966	0.186497157
2.999	0.194848558
3.032	0.200365543
3.066	0.202943395
3.099	0.202533242
3.132	0.199131596
3.166	0.192787324
3.199	0.183610383
3.232	0.171789966
3.266	0.15758316
3.299	0.141280389
3.332	0.123177136
3.366	0.103579357
3.399	0.082827392
3.432	0.061300327
3.465	0.039391034
3.499	0.01748785
3.532	-0.004013734
3.565	-0.024700772
3.599	-0.044168175
3.632	-0.062054309
3.665	-0.078057058
3.699	-0.091916543
3.732	-0.103401159
3.765	-0.112308796
3.799	-0.118481327
3.832	-0.121819095
3.865	-0.12228056
3.899	-0.119860835
3.932	-0.114590639
3.965	-0.106562823
3.999	-0.095932895
4.032	-0.082890573
4.065	-0.067648613
4.099	-0.050453105
4.132	-0.031593252
4.165	-0.011402411
4.199	0.009745395
4.232	0.031439838
4.265	0.053244236
4.298	0.074725399
4.332	0.095476666
4.365	0.115116332
4.398	0.133288526
4.432	0.14967071
4.465	0.163974032
4.498	0.175939661
4.532	0.185352221
4.565	0.192059522
4.598	0.19594986
4.632	0.196958661
4.665	0.195068469
4.698	0.190333391
4.732	0.182865127
4.765	0.172820059
4.798	0.160393664
4.832	0.145813009
4.865	0.129326629
4.898	0.111215347
4.932	0.091807286
4.965	0.071470884
4.998	0.050583656
5.031	0.029517183
5.065	0.008641125
5.098	-0.011668573
5.131	-0.031027765
5.165	-0.04906487
5.198	-0.065453512
5.231	-0.079916358
5.265	-0.092209933
5.298	-0.102122007
5.331	-0.10947473
5.365	-0.114133887
5.398	-0.116019889
5.431	-0.115109875
5.465	-0.111439098
5.498	-0.105092383
5.531	-0.096185444
5.565	-0.084851276
5.598	-0.071255336
5.631	-0.055623818
5.665	-0.038251509
5.698	-0.019478922
5.731	0.000341735
5.765	0.020856335
5.798	0.041694171
5.831	0.06246673
5.864	0.082782363
5.898	0.102255176
5.931	0.120515683
5.964	0.137225116
5.998	0.15207525
6.031	0.164787705
6.064	0.175131573
6.098	0.182938431
6.131	0.188092388
6.164	0.19051665
6.198	0.190172821
6.231	0.187071371
6.264	0.181280368
6.298	0.172908024
6.331	0.162118747
6.364	0.149124596
6.398	0.134172535
6.431	0.117531344
6.464	0.099504188
6.498	0.080425121
6.531	0.060631691
6.564	0.040454463
6.597	0.020240583
6.631	0.000363203
6.664	-0.018796323
6.697	-0.036874444
6.731	-0.053534484
6.764	-0.068465601
6.797	-0.081390812
6.831	-0.092080255
6.864	-0.100353465
6.897	-0.106081461
6.931	-0.109190241
6.964	-0.109649263
6.997	-0.107455559
7.031	-0.10263845
7.064	-0.095261641
7.097	-0.085431598
7.131	-0.07331465
7.164	-0.059147114
7.197	-0.043216447
7.231	-0.025831571
7.264	-0.007300887
7.297	0.012066159
7.331	0.031937431
7.364	0.051947805
7.397	0.071712088
7.43	0.090839501
7.464	0.108946768
7.497	0.125684825
7.53	0.140753648
7.564	0.153898247
7.597	0.164898184
7.63	0.173568805
7.664	0.179770658
7.697	0.183402688
7.73	0.184406253
7.764	0.182763898
7.797	0.17850704
7.83	0.171697114
7.864	0.16243535
7.897	0.150896106
7.93	0.137331058
7.964	0.122035341
7.997	0.105312643
8.03	0.08746735
8.064	0.068812573
8.097	0.049671896
8.13	0.030368554
8.163	0.011227529
8.197	-0.007414333
8.23	-0.025209536
8.263	-0.041820358
8.297	-0.056939272
8.33	-0.07029907
8.363	-0.08166989
8.397	-0.090847529
8.43	-0.097649601
8.463	-0.101937351
8.497	-0.103641142
8.53	-0.102756085
8.563	-0.099315518
8.597	-0.093380875
8.63	-0.085052862
8.663	-0.074480006
8.697	-0.061854992
8.73	-0.047406982
8.763	-0.031399346
8.797	-0.01412495
8.83	0.004101349
8.863	0.02294916
8.897	0.042076223
8.93	0.061129459
8.963	0.079752995
8.996	0.097602302
9.03	0.11435502
9.063	0.129713219
9.096	0.143393459
9.13	0.155124515
9.163	0.164654187
9.196	0.171771814
9.23	0.176348068
9.263	0.178351706
9.296	0.177808908
9.33	0.174768545
9.363	0.169307409
9.396	0.16153476
9.43	0.151579228
9.463	0.139598938
9.496	0.125809267
9.53	0.110471837
9.563	0.093863458
9.596	0.076270016
9.63	0.057996767
9.663	0.039376199
9.696	0.020765753
9.729	0.002527935
9.763	-0.014987142
9.796	-0.031448564
9.829	-0.046560323
9.863	-0.060076676
9.896	-0.071794119
9.929	-0.081524678
9.963	-0.089085619
9.996	-0.094321782
10.029	-0.097130714
10.063	-0.097464596
10.096	-0.095313652
10.129	-0.09070511
10.163	-0.08371559
10.196	-0.074478959
10.229	-0.06317865
10.263	-0.050035623
10.296	-0.035299982
10.329	-0.019244698
10.363	-0.002156529
10.396	0.015659618
10.429	0.033874397
10.463	0.052144853
10.496	0.070136405
10.529	0.087526866
10.562	0.104002774
10.596	0.1192669
10.629	0.13304994
10.662	0.14510999
10.696	0.155223999
10.729	0.163178686
10.762	0.168785032
10.796	0.171914059
10.829	0.172521259
10.862	0.170650266
10.896	0.166403705
10.929	0.15990183
10.962	0.15127362
10.996	0.14066132
11.029	0.128230736
11.062	0.114183454
11.096	0.098760852
11.129	0.082242532
11.162	0.064946145
11.196	0.047214298
11.229	0.029392217
11.262	0.011809945
11.295	-0.00522377
11.329	-0.021414666
11.362	-0.036482966
11.395	-0.050168442
11.429	-0.062232158
11.462	-0.072453679
11.495	-0.080641716
11.529	-0.086643555
11.562	-0.090343304
11.595	-0.091670277
11.629	-0.090611037
11.662	-0.087204329
11.695	-0.081521362
11.729	-0.073656036
11.762	-0.063738377
11.795	-0.051945536
11.829	-0.038496727
11.862	-0.023637343
11.895	-0.007633372
11.929	0.009222669
11.962	0.02661278
11.995	0.044208492
12.029	0.061686044
12.062	0.078724298
12.095	0.094994257
12.128	0.110167451
12.162	0.123949269
12.195	0.136100775
12.228	0.146436266
12.262	0.15479552
12.295	0.161028964
12.328	0.165016867
12.362	0.166685925
12.395	0.166002628
