x	y
10.129	-0.177223001
10.162	-0.150909545
10.195	-0.120889882
10.229	-0.087848006
10.262	-0.052542788
10.295	-0.015830311
10.329	0.021336127
10.362	0.057979838
10.395	0.093207389
10.429	0.126233556
10.462	0.156285159
10.495	0.182495117
10.529	0.204008046
10.562	0.220269278
10.595	0.231057158
10.629	0.236273947
10.662	0.235856814
10.695	0.229870334
10.728	0.218537912
10.762	0.202121345
10.795	0.180814365
10.828	0.154910014
10.862	0.125077974
10.895	0.092305752
10.928	0.057560435
10.962	0.021667565
10.995	-0.014555348
11.028	-0.050229529
11.062	-0.084474983
11.095	-0.116485194
11.128	-0.14555278
11.162	-0.171046805
11.195	-0.192367921
11.228	-0.208950469
11.262	-0.220318322
11.295	-0.226143707
11.328	-0.22629782
11.362	-0.220863214
11.395	-0.210058229
11.428	-0.194153393
11.461	-0.173480666
11.495	-0.148507972
11.528	-0.119866595
11.561	-0.088280673
11.595	-0.054489354
11.628	-0.01925552
11.661	0.016582199
11.695	0.052120244
11.728	0.086483159
11.761	0.118865474
11.795	0.148447583
11.828	0.174315632
11.861	0.19557636
11.895	0.211619426
11.928	0.222232774
11.961	0.227473997
11.995	0.227439091
12.028	0.222201358
12.061	0.211863773
12.095	0.196579924
12.128	0.176512129
12.161	0.151935798
12.195	0.123482045
12.228	0.092109228
12.261	0.058770646
12.294	0.024243496
12.328	-0.010739534
12.361	-0.045358838
12.394	-0.078735642
12.428	-0.110008975
12.461	-0.138382444
12.494	-0.163169959
12.528	-0.183825756
12.561	-0.199921357
12.594	-0.211114852
12.628	-0.217154215
12.661	-0.217884635
12.694	-0.213263003
12.728	-0.203375189
12.761	-0.188443723
12.794	-0.168835821
12.828	-0.145053791
12.861	-0.117685108
12.894	-0.087360012
12.928	-0.054760054
12.961	-0.020664349
12.994	0.014027211
13.027	0.048359059
13.061	0.081464639
13.094	0.112648786
13.127	0.141270789
13.161	0.16655869
13.194	0.187631621
13.227	0.20373752
13.261	0.21447304
13.294	0.219810257
13.327	0.219955119
13.361	0.21513801
13.394	0.205477613
13.427	0.190970436
13.461	0.171688039
13.494	0.148047903
13.527	0.120792667
13.561	0.090733036
13.594	0.058626133
13.627	0.025234843
13.661	-0.008622276
13.694	-0.042088789
13.727	-0.074313152
13.761	-0.104503858
13.794	-0.131962076
13.827	-0.156075545
13.86	-0.176290472
13.894	-0.192105598
13.927	-0.203107979
13.96	-0.20903407
13.994	-0.20979259
14.027	-0.205426998
14.06	-0.196077793
14.094	-0.181984783
14.127	-0.163486213
14.16	-0.140988744
14.194	-0.114959427
14.227	-0.085958862
14.26	-0.054666505
14.294	-0.021867405
14.327	0.011577118
14.36	0.044768393
14.394	0.076835153
14.427	0.107011547
14.46	0.134651628
14.494	0.159128475
14.527	0.179735752
14.56	0.195791035
14.593	0.206849442
14.627	0.212722475
14.66	0.213368246
14.693	0.2088269
14.727	0.19923457
14.76	0.184826877
14.793	0.16597418
14.827	0.143231143
14.86	0.11726972
14.893	0.088713166
14.927	0.058115973
14.96	0.026106286
14.993	-0.006515838
15.027	-0.038829736
15.06	-0.069948782
15.093	-0.09910538
15.127	-0.125623913
15.16	-0.148906605
15.193	-0.168452373
15.227	-0.183845129
15.26	-0.194727606
15.293	-0.200804145
15.327	-0.201889216
15.36	-0.19795856
15.393	-0.189143251
15.426	-0.175694616
15.46	-0.157969402
15.493	-0.136408826
15.526	-0.111489887
15.56	-0.083712274
15.593	-0.053662068
15.626	-0.022089062
15.66	0.010114358
15.693	0.04204184
15.726	0.072881633
15.76	0.101941016
15.793	0.128621167
15.826	0.152327799
15.86	0.172368019
15.893	0.188041774
15.926	0.198869796
15.96	0.204674761
15.993	0.205474122
16.026	0.201377834
16.06	0.192506326
16.093	0.178978279
16.126	0.161006798
16.159	0.139042528
16.193	0.113784472
16.226	0.085975443
16.259	0.056275
16.293	0.02532944
16.326	-0.00613012
16.359	-0.037269935
16.393	-0.067228687
16.426	-0.095231796
16.459	-0.120634016
16.493	-0.142903021
16.526	-0.161597068
16.559	-0.176344751
16.593	-0.186822661
16.626	-0.192767602
16.659	-0.194004866
16.693	-0.190481046
16.726	-0.182277824
16.759	-0.169597309
16.793	-0.152745457
16.826	-0.13212317
16.859	-0.108192088
16.893	-0.081458007
16.926	-0.05252167
16.959	-0.022131822
16.992	0.00885423
17.026	0.039575341
17.059	0.069264089
17.092	0.097276275
17.126	0.123042047
17.159	0.145952461
17.192	0.165307813
17.226	0.180451337
17.259	0.190958219
17.292	0.196653228
17.326	0.197496222
17.359	0.193543051
17.392	0.184933342
17.426	0.171877232
17.459	0.154686961
17.492	0.133851918
17.526	0.109997107
17.559	0.083711751
17.592	0.055505135
17.626	0.025935418
17.659	-0.004303982
17.692	-0.034407421
17.725	-0.063521433
17.759	-0.090833567
17.792	-0.115650229
17.825	-0.137406281
17.859	-0.155624726
17.892	-0.169907628
17.925	-0.179962121
17.959	-0.185605818
17.992	-0.186731031
18.025	-0.183295874
18.059	-0.175355324
18.092	-0.163097004
18.125	-0.146843975
18.159	-0.127008482
18.192	-0.10403227
18.225	-0.078381166
18.259	-0.050598666
18.292	-0.021356896
18.325	0.008542339
18.359	0.03824156
18.392	0.066926919
18.425	0.093889464
18.459	0.118515536
18.492	0.140254135
18.525	0.158587597
18.558	0.173020248
18.592	0.183139144
18.625	0.188710235
18.658	0.189649222
18.692	0.185950869
18.725	0.177681499
18.758	0.165035192
18.792	0.148413026
18.825	0.128379962
18.858	0.105493285
18.892	0.080229121
18.925	0.053073019
18.958	0.024593609
18.992	-0.004519181
19.025	-0.033437541
19.058	-0.061281303
19.092	-0.087285836
19.125	-0.110871866
19.158	-0.131582467
19.192	-0.149005216
19.225	-0.162759283
19.258	-0.172522306
19.291	-0.178049066
19.325	-0.179181086
19.358	-0.175859724
19.391	-0.168156539
19.425	-0.156277479
19.458	-0.140534959
19.491	-0.121321851
19.525	-0.099097177
19.558	-0.074371097
19.591	-0.047715556
19.625	-0.019787496
19.658	0.008692438
19.691	0.036988414
19.725	0.064375422
19.758	0.09014835
19.791	0.113668931
19.825	0.134414263
19.858	0.151938591
19.891	0.165793713
19.925	0.175559179
19.958	0.180957482
19.991	0.18187378
20.025	0.178301091
20.058	0.170289506
20.091	0.158018445
20.124	0.141914467
20.158	0.122588436
20.191	0.100595542
20.224	0.076361296
20.258	0.050303531
20.291	0.02296033
20.324	-0.004960226
20.358	-0.032635039
20.391	-0.059246074
20.424	-0.084087345
20.458	-0.10660122
20.491	-0.126338276
20.524	-0.142907908
20.558	-0.155972919
20.591	-0.165248646
20.624	-0.170490394
20.658	-0.171503383
20.691	-0.168195809
20.724	-0.160639406
20.758	-0.149076774
20.791	-0.133869721
20.824	-0.115428223
20.857	-0.094179014
20.891	-0.070562789
20.924	-0.045066496
20.957	-0.018285815
20.991	0.009069603
21.024	0.036245253
21.057	0.062508618
21.091	0.08717204
21.124	0.109612262
21.157	0.129304812
21.191	0.145841283
21.224	0.158891983
21.257	0.168132105
21.291	0.173259009
21.324	0.174092055
21.357	0.170599651
21.391	0.162861734
21.424	0.151094899
21.457	0.135701793
21.491	0.117197638
21.524	0.096054195
21.557	0.072683713
21.591	0.047554637
21.624	0.021254794
21.657	-0.005516288
21.69	-0.031982286
21.724	-0.057381713
21.757	-0.081082761
21.79	-0.102599704
21.824	-0.121519422
21.857	-0.137442235
21.89	-0.149976841
21.924	-0.158786739
21.957	-0.163645212
21.99	-0.164441955
22.024	-0.161162307
22.057	-0.153888124
22.09	-0.142801967
22.124	-0.128175584
22.157	-0.110356121
22.19	-0.089745877
22.224	-0.066796543
22.257	-0.042051614
22.29	-0.016176584
22.324	0.010081894
22.357	0.035992878
22.39	0.060915482
22.423	0.084283346
22.457	0.105545296
22.49	0.124167959
22.523	0.139688997
22.557	0.15175952
22.59	0.16014286
22.623	0.164658027
22.657	0.165157191
22.69	0.161634942
22.723	0.154285361
22.757	0.143348953
22.79	0.12901596
22.823	0.111529681
22.857	0.091263965
22.89	0.06869965
22.923	0.044404667
22.957	0.019028103
22.99	-0.006710442
23.023	-0.032052972
23.057	-0.05628809
23.09	-0.078825701
23.123	-0.099188109
23.157	-0.11696132
23.19	-0.13178126
23.223	-0.143344764
23.256	-0.151408185
23.29	-0.155790358
23.323	-0.156388308
23.356	-0.153162067
23.39	-0.146137116
23.423	-0.13545256
23.456	-0.121377527
23.49	-0.104269984
23.523	-0.084539037
23.556	-0.062630966
23.59	-0.039028355
23.623	-0.014282553
23.656	0.010941469
23.69	0.035901772
23.723	0.059880327
23.756	0.082251259
23.79	0.102478054
23.823	0.12007586
23.856	0.134610613
23.89	0.145744068
23.923	0.153264867
23.956	0.157079284
23.989	0.157184352
24.023	0.153638367
24.056	0.146534528
24.089	0.135988725
24.123	0.122172
24.156	0.105364305
24.189	0.085968112
24.223	0.064467227
24.256	0.041373903
24.289	0.017229716
24.323	-0.007328812
24.356	-0.031559916
24.389	-0.054724973
24.423	-0.076207358
24.456	-0.095536182
24.489	-0.112344051
24.523	-0.126304067
24.556	-0.137101721
24.589	-0.144472421
24.623	-0.148245998
24.656	-0.148358746
24.689	-0.144839813
24.723	-0.137790777
24.756	-0.127366275
24.789	-0.113792849
24.822	-0.0973885
24.856	-0.078543482
24.889	-0.057683306
24.922	-0.035251113
24.956	-0.011745891
24.989	0.01220788
25.022	0.035884668
25.056	0.05858058
25.089	0.079686498
25.122	0.098688421
25.156	0.11515281
25.189	0.128716636
25.222	0.139098029
25.256	0.146110587
25.289	0.149639643
25.322	0.149623412
25.356	0.146065383
25.389	0.139034499
25.422	0.128663229
25.456	0.115166423
25.489	0.098859812
25.522	0.080129288
25.555	0.059406121
25.589	0.037192443
25.622	0.014066307
25.655	-0.009345016
25.689	-0.032375509
25.722	-0.054355836
25.755	-0.074688573
25.789	-0.092901782
25.822	-0.108653378
25.855	-0.121678421
25.889	-0.131710399
25.922	-0.138461682
25.955	-0.14170782
25.989	-0.141381443
26.022	-0.137571564
26.055	-0.130442243
26.089	-0.120176566
26.122	-0.106986065
26.155	-0.091131145
26.189	-0.07292579
26.222	-0.05276427
26.255	-0.031138943
26.289	-0.008623846
26.322	0.01415654
26.355	0.036562728
26.388	0.057982805
26.422	0.077873275
26.455	0.09577983
26.488	0.111309595
26.522	0.124082787
26.555	0.133748944
26.588	0.140071748
26.622	0.142981736
26.655	0.142526728
26.688	0.138784568
26.722	0.131831525
26.755	0.121754343
26.788	0.108686016
26.822	0.092866352
26.855	0.07467653
26.888	0.054614668
26.922	0.03325306
26.955	0.01119332
26.988	-0.010973234
27.022	-0.03268321
27.055	-0.053397127
27.088	-0.072602206
27.121	-0.089833667
27.155	-0.104698986
27.188	-0.116865501
27.221	-0.126051867
27.255	-0.132049168
27.288	-0.134738022
27.321	-0.134096264
27.355	-0.130193359
27.388	-0.123149734
27.421	-0.11310327
27.455	-0.100230245
27.488	-0.084795775
27.521	-0.067160444
27.555	-0.047758492
27.588	-0.027086463
27.621	-0.005695882
27.655	0.015844273
27.688	0.036992952
27.721	0.057245578
27.755	0.076091643
27.788	0.093018021
27.821	0.107560802
27.855	0.119347883
27.888	0.128129856
27.921	0.133772506
27.954	0.136201655
27.988	0.135379081
28.021	0.131323634
28.054	0.124116472
28.088	0.113903329
28.121	0.100929075
28.154	0.085547139
28.188	0.06817448
28.221	0.049242196
28.254	0.029175796
28.288	0.008413709
28.321	-0.012553106
28.354	-0.033171553
28.388	-0.052860089
28.421	-0.07105375
28.454	-0.087255467
28.488	-0.101082838
28.521	-0.112259752
28.554	-0.120560363
28.588	-0.125790766
28.621	-0.127837165
28.654	-0.126706366
28.687	-0.122499075
28.721	-0.115375863
28.754	-0.105535522
28.787	-0.093179289
28.821	-0.078493565
28.854	-0.061701054
28.887	-0.043130926
28.921	-0.023260527
28.954	-0.002699326
28.987	0.017898526
29.021	0.037941713
29.054	0.056937702
29.087	0.074463774
29.121	0.090131595
29.154	0.103570281
29.187	0.114435479
29.221	0.122453871
29.254	0.127444291
29.287	0.129306906
29.321	0.128016759
29.354	0.123617482
29.387	0.116224791
29.421	0.106048998
29.454	0.093392045
29.487	0.078597063
29.52	0.062010327
29.554	0.043981774
29.587	0.024883683
29.62	0.005139297
29.654	-0.014744018
29.687	-0.034190127
29.72	-0.052625866
29.754	-0.069555036
29.787	-0.084576736
29.82	-0.097350102
29.854	-0.107565165
29.887	-0.114970074
29.92	-0.119416998
29.954	-0.120858117
29.987	-0.119304424
30.02	-0.11480514
30.054	-0.107478597
30.087	-0.097550117
30.12	-0.08532618
30.154	-0.071109252
30.187	-0.055158862
30.22	-0.037737335
30.253	-0.019171918
30.287	9.09317E-05
30.32	0.019493757
30.353	0.038449429
30.387	0.056414277
30.42	0.072902752
30.453	0.087484978
30.487	0.099799323
30.52	0.109571072
30.553	0.116622552
30.587	0.120851484
30.62	0.12220202
30.653	0.120643441
30.687	0.116176969
30.72	0.10887486
30.753	0.098924564
30.787	0.086608648
30.82	0.072231324
30.853	0.056106227
30.887	0.038613839
30.92	0.020214403
30.953	0.001402372
30.987	-0.017320473
31.02	-0.035462996
31.053	-0.052565303
31.086	-0.06819717
31.12	-0.081960313
31.153	-0.093506538
31.186	-0.102557816
31.22	-0.108920064
31.253	-0.112504098
31.286	-0.113315153
31.32	-0.111413442
31.353	-0.106903162
31.386	-0.099911198
31.42	-0.090541573
31.453	-0.078894467
31.486	-0.065149127
31.52	-0.049605923
31.553	-0.032673262
31.586	-0.014828492
31.62	0.003423114
31.653	0.021593039
31.686	0.03923186
31.72	0.055910052
31.753	0.071209084
31.786	0.084740273
31.819	0.09614024
