x	y
0	0.210704874
0.033	0.195293617
0.067	0.180580491
0.1	0.165631921
0.133	0.148833476
0.167	0.129221385
0.2	0.106720252
0.233	0.081749128
0.267	0.054890605
0.3	0.026732335
0.333	-0.002184105
0.366	-0.031336863
0.4	-0.060158881
0.433	-0.087991821
0.466	-0.114129698
0.5	-0.137938781
0.533	-0.158939106
0.566	-0.176780909
0.6	-0.191182668
0.633	-0.201908415
0.666	-0.208780823
0.7	-0.211695523
0.733	-0.210617084
0.766	-0.20557378
0.8	-0.196660733
0.833	-0.184058932
0.866	-0.168039079
0.9	-0.148932436
0.933	-0.127093829
0.966	-0.102906009
1	-0.076801643
1.033	-0.049269074
1.066	-0.020836613
1.1	0.007947182
1.133	0.036530788
1.166	0.064360063
1.199	0.090870044
1.233	0.115495592
1.266	0.137709271
1.299	0.157050486
1.333	0.173132648
1.366	0.185645437
1.399	0.194361611
1.433	0.199121124
1.466	0.19984369
1.499	0.196510111
1.533	0.189193691
1.566	0.178051509
1.599	0.163310982
1.633	0.145278065
1.666	0.12433202
1.699	0.100929773
1.733	0.075590559
1.766	0.048859445
1.799	0.021276611
1.833	-0.006638534
1.866	-0.034389095
1.899	-0.061481841
1.932	-0.087419004
1.966	-0.111710497
1.999	-0.133900613
2.032	-0.153588276
2.066	-0.170424944
2.099	-0.184099598
2.132	-0.194347648
2.166	-0.200976409
2.199	-0.20386999
2.232	-0.202977952
2.266	-0.198311291
2.299	-0.189949069
2.332	-0.178040862
2.366	-0.162806058
2.399	-0.144528446
2.432	-0.123552032
2.466	-0.100273703
2.499	-0.075133283
2.532	-0.048604627
2.566	-0.021185505
2.599	0.006609038
2.632	0.034245803
2.666	0.061185659
2.699	0.086898198
2.732	0.110859649
2.765	0.132555313
2.799	0.151503829
2.832	0.16728946
2.865	0.179580417
2.899	0.188132531
2.932	0.192804777
2.965	0.193543051
2.999	0.190377024
3.032	0.183381745
3.065	0.172690207
3.099	0.158494397
3.132	0.14107636
3.165	0.120812913
3.199	0.098155921
3.232	0.073601756
3.265	0.047665815
3.299	0.020870822
3.332	-0.006272364
3.365	-0.033273306
3.399	-0.05964558
3.432	-0.084897702
3.465	-0.108546564
3.498	-0.130143792
3.532	-0.149290752
3.565	-0.165637506
3.598	-0.178879842
3.632	-0.188775859
3.665	-0.195155561
3.698	-0.197915799
3.732	-0.19700561
3.765	-0.192430229
3.798	-0.184262263
3.832	-0.172644304
3.865	-0.157794869
3.898	-0.140004029
3.932	-0.119615966
3.965	-0.097013079
3.998	-0.072614074
4.032	-0.046877275
4.065	-0.020288056
4.098	0.006654242
4.132	0.033437541
4.165	0.059534752
4.198	0.084413373
4.232	0.10755033
4.265	0.128443667
4.298	0.146643436
4.331	0.161776837
4.365	0.173559904
4.398	0.181793495
4.431	0.186352295
4.465	0.187170854
4.498	0.184224739
4.531	0.177555835
4.565	0.167273577
4.598	0.153559129
4.631	0.136679875
4.665	0.117003382
4.698	0.09498012
4.731	0.071104016
4.765	0.045892211
4.798	0.019871795
4.831	-0.00644009
4.865	-0.032550216
4.898	-0.057990135
4.931	-0.082318803
4.965	-0.105123973
4.998	-0.126011899
5.031	-0.144602448
5.064	-0.160534337
5.098	-0.173478572
5.131	-0.183167942
5.164	-0.18942006
5.198	-0.192125844
5.231	-0.191233283
5.264	-0.186757909
5.298	-0.178793099
5.331	-0.167496805
5.364	-0.153083352
5.398	-0.135822744
5.431	-0.116047116
5.464	-0.094141838
5.498	-0.070525613
5.531	-0.045635473
5.564	-0.019930438
5.598	0.006108303
5.631	0.031985951
5.664	0.057206831
5.698	0.081272827
5.731	0.103684949
5.764	0.123951189
5.798	0.141617063
5.831	0.156299121
5.864	0.167705372
5.897	0.175635973
5.931	0.179971371
5.964	0.180667758
5.997	0.177733859
6.031	0.171221163
6.064	0.161225837
6.097	0.14791805
6.131	0.131574787
6.164	0.112578624
6.197	0.091376538
6.231	0.068426681
6.264	0.044179519
6.297	0.019087793
6.331	-0.006381796
6.364	-0.031749633
6.397	-0.056526851
6.431	-0.08023296
6.464	-0.10241784
6.497	-0.122672386
6.531	-0.140623621
6.564	-0.155935569
6.597	-0.168317982
6.63	-0.177541698
6.664	-0.183445798
6.697	-0.185927831
6.73	-0.184941196
6.764	-0.1805023
6.797	-0.172692476
6.83	-0.161663042
6.864	-0.147640718
6.897	-0.130913482
6.93	-0.111803697
6.964	-0.090653623
6.997	-0.067834839
7.03	-0.043757324
7.064	-0.018872769
7.097	0.006334673
7.13	0.031368454
7.164	0.055739882
7.197	0.078975451
7.23	0.100607759
7.264	0.120173773
7.297	0.137240475
7.33	0.15143262
7.364	0.162448615
7.397	0.17006942
7.43	0.174164835
7.463	0.174686514
7.497	0.171652259
7.53	0.165141832
7.563	0.15528142
7.597	0.142256551
7.63	0.126335134
7.663	0.107872518
7.697	0.087279029
7.73	0.064986811
7.763	0.041442494
7.797	0.017112081
7.83	-0.007535459
7.863	-0.03205175
7.897	-0.055997842
7.93	-0.078920647
7.963	-0.100363064
7.997	-0.11989836
8.03	-0.137156001
8.063	-0.151829159
8.097	-0.163663015
8.13	-0.172442544
8.163	-0.178002814
8.196	-0.180245911
8.23	-0.179141293
8.263	-0.174718105
8.296	-0.167063091
8.33	-0.15632024
8.363	-0.142691836
8.396	-0.126435142
8.43	-0.107854541
8.463	-0.087290897
8.496	-0.065123121
8.53	-0.04177655
8.563	-0.017705318
8.596	0.006637836
8.63	0.030806981
8.663	0.054346062
8.696	0.076782444
8.73	0.097643143
8.763	0.116478387
8.796	0.132876628
8.83	0.146477805
8.863	0.1569983
8.896	0.164249794
8.93	0.168128963
8.963	0.168589381
8.996	0.165631921
9.029	0.159309814
9.063	0.149735462
9.096	0.137082872
9.129	0.121600929
9.163	0.103617754
9.196	0.083531109
9.229	0.061790241
9.263	0.03887145
9.296	0.015252432
9.329	-0.008605695
9.363	-0.0322666
9.396	-0.055304597
9.429	-0.07729592
9.463	-0.097836177
9.496	-0.116563036
9.529	-0.133144013
9.563	-0.147264075
9.596	-0.158640306
9.629	-0.167047557
9.663	-0.172331716
9.696	-0.174402898
9.729	-0.173227768
9.762	-0.168828142
9.796	-0.161289716
9.829	-0.150764159
9.862	-0.137465448
9.896	-0.121653114
9.929	-0.10362491
9.962	-0.08371559
9.996	-0.06228923
10.029	-0.039735911
10.062	-0.016469974
10.096	0.007078357
10.129	0.030466293
10.162	0.053230622
10.196	0.074890856
10.229	0.094972266
10.262	0.113037122
10.296	0.128706862
10.329	0.141667677
10.362	0.151667367
10.396	0.15851569
10.429	0.162088379
10.462	0.16232714
10.496	0.159239303
10.529	0.152900093
10.562	0.143445295
10.595	0.131067769
10.629	0.116022856
10.662	0.098635188
10.695	0.079275996
10.729	0.058340248
10.762	0.036244031
10.795	0.013419138
10.829	-0.009693559
10.862	-0.032641671
10.895	-0.054961465
10.929	-0.076205264
10.962	-0.095970943
10.995	-0.113910484
11.029	-0.12971671
11.062	-0.143121187
11.095	-0.153900166
11.129	-0.161865325
11.162	-0.166850509
11.195	-0.168727611
11.229	-0.167436067
11.262	-0.162988619
11.295	-0.155469916
11.328	-0.145042097
11.362	-0.131938514
11.395	-0.116435801
11.428	-0.098836774
11.462	-0.079474091
11.495	-0.058711305
11.528	-0.03693012
11.562	-0.014517649
11.595	0.008125206
11.628	0.030578168
11.662	0.052404383
11.695	0.073164551
11.728	0.092425307
11.762	0.109759742
11.795	0.124775683
11.828	0.137144133
11.862	0.146611148
11.895	0.153002893
11.928	0.156228959
11.962	0.156265088
11.995	0.153126462
12.028	0.146862999
12.062	0.137580291
12.095	0.125455837
12.128	0.110746552
12.161	0.093778635
12.195	0.074928905
12.228	0.054607862
12.261	0.033246428
12.295	0.011273954
12.328	-0.010894694
12.361	-0.03285879
12.395	-0.054217257
12.428	-0.074571636
12.461	-0.093543365
12.495	-0.110793152
12.528	-0.12601539
12.561	-0.138931176
12.595	-0.149287785
12.628	-0.156867052
12.661	-0.161499854
12.695	-0.163084613
12.728	-0.161595672
12.761	-0.157085392
12.795	-0.149679088
12.828	-0.139552513
12.861	-0.126900446
12.894	-0.111938961
12.928	-0.094930552
12.961	-0.076187985
12.994	-0.056061372
13.028	-0.034928053
13.061	-0.013188755
13.094	0.008728915
13.128	0.0303888
13.161	0.051368181
13.194	0.071265459
13.228	0.089691598
13.261	0.106267339
13.294	0.120628955
13.328	0.132448325
13.361	0.141461205
13.394	0.147487303
13.428	0.150423994
13.461	0.150227121
13.494	0.146905934
13.528	0.140534959
13.561	0.131259406
13.594	0.119295349
13.628	0.104927624
13.661	0.088492556
13.694	0.070351081
13.727	0.050860989
13.761	0.030377456
13.794	0.009266826
13.827	-0.012087976
13.861	-0.03329233
13.894	-0.053936957
13.927	-0.073606643
13.961	-0.091897519
13.994	-0.108439226
14.027	-0.122916907
14.061	-0.135081852
14.094	-0.144737537
14.127	-0.151717632
14.161	-0.15588129
14.194	-0.157133912
14.227	-0.155448797
14.261	-0.150881445
14.294	-0.143554902
14.327	-0.13363096
14.361	-0.121295845
14.394	-0.106766852
14.427	-0.090296878
14.46	-0.072174426
14.494	-0.052725873
14.527	-0.032314771
14.56	-0.011336612
14.594	0.009802118
14.627	0.030693709
14.66	0.050925566
14.694	0.070083347
14.727	0.087766674
14.76	0.103599952
14.794	0.11723778
14.827	0.128382056
14.86	0.136799605
14.894	0.142338582
14.927	0.14491591
14.96	0.144490049
14.994	0.141057685
15.027	0.134677285
15.06	0.125488126
15.094	0.113707503
15.127	0.099612573
15.16	0.083519415
15.194	0.065769068
15.227	0.046729096
15.26	0.026789233
15.293	0.006347588
15.327	-0.014208027
15.36	-0.034509523
15.393	-0.054205912
15.427	-0.072951796
15.46	-0.090395838
15.493	-0.106184784
15.527	-0.119990688
